#Date:= 2024-10-08T15:48:15.023990
#Sampling Rate(Hz):= 1000
#Labels:= LOD	ECG	TS
0	1556	20
0	1557	21
0	1555	22
0	1554	23
0	1555	24
0	1555	25
0	1554	26
0	1555	27
0	1551	28
0	1554	29
0	1564	30
0	1557	31
0	1551	32
0	1537	33
0	1512	34
0	1481	35
0	1458	36
0	1436	37
0	3130	38
0	3130	39
1	3130	40
1	3130	41
1	3130	42
1	3130	43
1	3130	44
1	3130	45
1	3130	46
1	3130	47
1	3130	48
1	3130	49
1	3130	50
1	3130	51
1	3130	52
1	3130	53
1	3130	54
1	3130	55
1	3130	56
1	3130	57
1	3130	58
1	3130	59
1	1643	100
1	1654	101
1	1661	102
1	1672	103
1	1681	104
1	1686	105
1	1688	106
1	1686	107
1	1686	108
1	1686	109
1	1686	110
1	1692	111
1	1690	112
1	1688	113
1	1686	114
1	1686	115
1	1686	116
1	1685	117
1	1685	118
1	1685	119
1	3130	80
1	3130	81
1	3130	82
1	3130	83
1	3130	84
1	3130	85
1	3130	86
1	3130	87
1	3130	88
1	3130	89
1	3130	90
1	3130	91
1	3130	92
1	3130	93
1	3130	94
1	3130	95
1	3130	96
1	3130	97
1	3130	98
1	3130	99
1	3130	80
1	3130	81
1	2996	82
1	2806	83
1	2621	84
1	2443	85
1	2262	86
1	2105	87
1	1974	88
1	1867	89
1	1776	90
1	1712	91
1	1660	92
1	1629	93
1	1607	94
1	1602	95
1	1607	96
1	1611	97
1	1620	98
1	1631	99
1	1686	120
1	1686	121
1	1681	122
1	1682	123
1	1682	124
1	1683	125
1	1682	126
1	1686	127
1	1685	128
1	1685	129
1	1683	130
1	1682	131
1	1681	132
1	1679	133
1	1678	134
1	1678	135
1	1677	136
1	1672	137
1	1674	138
1	1674	139
1	1677	140
1	1679	141
1	1680	142
1	1680	143
1	1686	144
1	1686	145
1	1680	146
1	1677	147
1	1675	148
1	1674	149
1	1673	150
1	1672	151
1	1671	152
1	1669	153
1	1670	154
1	1670	155
1	1670	156
1	1670	157
1	1678	158
1	1677	159
1	1678	160
1	1678	161
1	1679	162
1	1680	163
1	1679	164
1	1679	165
1	1679	166
1	1672	167
1	1670	168
1	1670	169
1	1670	170
1	1678	171
1	1675	172
1	1674	173
1	1675	174
1	1674	175
1	1673	176
1	1674	177
1	1674	178
1	1674	179
1	1676	180
1	1677	181
1	1670	182
1	1670	183
1	1670	184
1	1670	185
1	1680	186
1	1676	187
1	1675	188
1	1675	189
1	1675	190
1	1674	191
1	1673	192
1	1673	193
1	1674	194
1	1672	195
1	1671	196
1	1665	197
1	1665	198
1	1665	199
1	1665	200
1	1675	201
1	1674	202
1	1672	203
1	1675	204
1	1673	205
1	1674	206
1	1674	207
1	1668	208
1	1650	209
1	1625	210
1	1591	211
1	1535	212
1	1472	213
1	1392	214
1	1286	215
1	1176	216
1	1048	217
1	932	218
1	838	219
1	761	220
1	692	221
1	634	222
1	586	223
1	544	224
1	521	225
1	508	226
1	499	227
1	497	228
1	494	229
1	481	230
1	455	231
1	423	232
1	375	233
1	323	234
1	272	235
1	225	236
1	193	237
1	166	238
1	143	239
1	134	240
1	134	241
1	151	242
1	172	243
1	198	244
1	224	245
1	253	246
1	289	247
1	324	248
1	360	249
1	390	250
1	409	251
1	427	252
1	450	253
1	483	254
1	532	255
1	598	256
1	665	257
1	721	258
1	769	259
1	812	260
1	848	261
1	869	262
