#Date:= 2024-10-08T15:56:43.862809
#Sampling Rate(Hz):= 1000
#Labels:= LOD	ECG	TS
1	1544	20
1	1542	21
1	1556	22
1	1585	23
1	1621	24
1	1663	25
1	1708	26
1	1749	27
1	1782	28
1	1828	29
1	1875	30
1	1922	31
1	1960	32
1	1975	33
1	1587	34
1	1539	35
1	1490	36
1	1450	37
1	1417	38
1	1393	39
1	1372	40
1	1372	41
1	1379	42
1	1398	43
1	1425	44
1	1466	45
1	1515	46
1	1559	47
1	1598	48
1	1623	49
1	1642	50
1	1649	51
1	1648	52
1	1635	53
1	1616	54
1	1593	55
1	1567	56
1	1538	57
1	1495	58
1	1469	59
1	1456	60
1	1459	61
1	1465	62
1	1482	63
1	1503	64
1	1534	65
1	1567	66
1	1603	67
1	1635	68
1	1660	69
1	1657	70
1	1631	71
1	1602	72
1	1582	73
1	1569	74
1	1553	75
1	1529	76
1	1505	77
1	1487	78
1	1465	79
1	1445	80
1	1437	81
1	1440	82
1	1461	83
1	1496	84
1	1542	85
1	1595	86
1	1646	87
1	1679	88
1	1700	89
1	1713	90
1	1719	91
1	1715	92
1	1718	93
1	1711	94
1	1686	95
1	1647	96
1	1596	97
1	1546	98
1	1499	99
1	1466	100
1	1456	101
1	1467	102
1	1481	103
1	1508	104
1	1544	105
1	1594	106
1	1646	107
1	1694	108
1	1725	109
1	1744	110
1	1742	111
1	1728	112
1	1701	113
1	1668	114
1	1633	115
1	1589	116
1	1543	117
1	1494	118
1	1459	119
1	1439	120
1	1435	121
1	1443	122
1	1467	123
1	1503	124
1	1554	125
1	1607	126
1	1652	127
1	1687	128
1	1721	129
1	1751	130
1	1772	131
1	1773	132
1	1761	133
1	1738	134
1	1707	135
1	1660	136
1	1608	137
1	1564	138
1	1529	139
1	1507	140
1	1503	141
1	1510	142
1	1530	143
1	1556	144
1	1589	145
1	1623	146
1	1659	147
1	1686	148
1	1716	149
1	1744	150
1	1751	151
1	1749	152
1	1739	153
1	1715	154
1	1688	155
1	1654	156
1	1611	157
1	1572	158
1	1539	159
1	1517	160
1	1508	161
1	1517	162
1	1530	163
1	1564	164
1	1607	165
1	1660	166
1	1705	167
1	1750	168
1	1783	169
1	1812	170
1	1828	171
1	1837	172
