#Date:= 2024-10-08T16:21:10.335739
#Sampling Rate(Hz):= 1000
#Labels:= LOD	ECG	TS
1	1646	20
1	1646	21
1	1642	22
1	1637	23
1	1630	24
1	1622	25
1	1623	26
1	1629	27
1	1643	28
1	1658	29
1	1674	30
1	1685	31
1	1687	32
1	1682	33
1	1670	34
1	1657	35
1	1645	36
1	1634	37
1	1622	38
1	1607	39
1	1610	40
1	1613	41
1	1611	42
1	1606	43
1	1610	44
1	1629	45
1	1654	46
1	1675	47
1	1692	48
1	1712	49
1	1730	50
1	1738	51
1	1738	52
1	1740	53
1	1740	54
1	1738	55
1	1737	56
1	1738	57
1	1738	58
1	1734	59
1	1730	60
1	1728	61
1	1724	62
1	1719	63
1	1720	64
1	1720	65
1	1717	66
1	1716	67
1	1718	68
1	1715	69
1	1719	70
1	1725	71
1	1733	72
1	1738	73
1	1742	74
1	1746	75
1	1752	76
1	1754	77
1	1753	78
1	1750	79
1	1739	80
1	1727	81
1	1705	82
1	1677	83
1	1649	84
1	1634	85
1	1626	86
1	1629	87
1	1636	88
1	1646	89
1	1659	90
1	1670	91
1	1684	92
1	1694	93
1	1700	94
1	1706	95
1	1712	96
1	1722	97
1	1734	98
1	1740	99
1	1738	100
1	1733	101
1	1723	102
1	1710	103
1	1699	104
1	1697	105
1	1703	106
1	1707	107
1	1706	108
1	1703	109
1	1701	110
1	1699	111
1	1705	112
1	1713	113
1	1719	114
1	1718	115
1	1711	116
1	1699	117
1	1688	118
1	1685	119
1	1672	120
1	1656	121
1	1634	122
1	1606	123
1	1566	124
1	1529	125
1	1500	126
1	1468	127
1	1436	128
1	1398	129
1	1357	130
1	1319	131
1	1293	132
1	1274	133
1	1260	134
1	1241	135
1	1216	136
1	1196	137
1	1176	138
1	1165	139
1	2037	160
1	2050	161
1	2052	162
1	2042	163
1	2034	164
1	2018	165
1	2001	166
1	1982	167
1	1961	168
1	1944	169
1	1922	170
1	1909	171
1	1895	172
1	1869	173
1	1843	174
1	1816	175
1	1786	176
1	1764	177
1	1736	178
1	1706	179
1	1168	140
1	1179	141
1	1197	142
1	1215	143
1	1237	144
1	1274	145
1	1323	146
1	1381	147
1	1446	148
1	1518	149
1	1592	150
1	1664	151
1	1734	152
1	1796	153
1	1856	154
1	1903	155
1	1944	156
1	1974	157
1	2000	158
1	2018	159
1	1671	180
1	1634	181
1	1600	182
1	1571	183
1	1556	184
1	1561	185
1	1582	186
1	1607	187
1	1633	188
1	1648	189
1	1674	190
1	1700	191
1	1719	192
1	1728	193
1	1730	194
1	1726	195
1	1727	196
1	1737	197
1	1751	198
1	1773	199
1	1788	200
1	1791	201
1	1782	202
1	1767	203
1	1743	204
1	1716	205
1	1698	206
1	1680	207
1	1662	208
1	1660	209
1	1660	210
1	1660	211
1	1662	212
1	1664	213
1	1670	214
1	1679	215
1	1687	216
1	1697	217
1	1704	218
1	1702	219
1	1700	220
1	1698	221
1	1690	222
1	1678	223
1	1680	224
1	1682	225
1	1688	226
1	1706	227
1	1711	228
1	1711	229
1	1713	230
1	1720	231
1	1724	232
1	1724	233
1	1726	234
1	1726	235
1	1724	236
1	1716	237
1	1715	238
1	1718	239
1	1685	260
1	1677	261
1	1669	262
1	1657	263
1	1636	264
1	1626	265
1	1623	266
1	1632	267
1	1646	268
1	1657	269
1	1665	270
1	1671	271
1	1675	272
1	1678	273
1	1686	274
1	1698	275
1	1705	276
1	1710	277
1	1703	278
1	1688	279
1	1721	240
1	1718	241
1	1707	242
1	1692	243
1	1672	244
1	1655	245
1	1641	246
1	1634	247
1	1632	248
1	1621	249
1	1620	250
1	1619	251
1	1625	252
1	1637	253
1	1656	254
1	1662	255
1	1678	256
1	1686	257
1	1688	258
1	1688	259
1	1677	280
1	1665	281
1	1654	282
1	1639	283
1	1634	284
1	1639	285
1	1652	286
1	1670	287
1	1687	288
1	1704	289
1	1710	290
1	1710	291
1	1709	292
1	1703	293
1	1684	294
1	1665	295
1	1657	296
1	1652	297
1	1650	298
1	1651	299
1	1651	300
1	1647	301
1	1643	302
1	1635	303
1	1628	304
1	1612	305
1	1610	306
1	1611	307
1	1612	308
1	1608	309
1	1611	310
1	1620	311
1	1625	312
1	1634	313
1	1651	314
1	1661	315
1	1664	316
1	1670	317
1	1675	318
1	1682	319
1	1678	320
1	1668	321
1	1654	322
1	1643	323
1	1631	324
1	1620	325
1	1611	326
1	1616	327
1	1623	328
1	1629	329
1	1632	330
1	1628	331
1	1632	332
1	1625	333
1	1620	334
1	1621	335
1	1629	336
1	1637	337
1	1641	338
1	1634	339
1	1628	360
1	1618	361
1	1606	362
1	1587	363
1	1575	364
1	1559	365
1	1544	366
1	1532	367
1	1529	368
1	1530	369
1	1536	370
1	1543	371
1	1542	372
1	1538	373
1	1530	374
1	1536	375
1	1547	376
1	1565	377
1	1585	378
1	1609	379
1	1621	360
1	1634	361
1	1643	362
1	1643	363
1	1636	364
1	1621	365
1	1602	366
1	1581	367
1	1557	368
1	1532	369
1	1523	370
1	1515	371
1	1512	372
1	1511	373
1	1520	374
1	1529	375
1	1547	376
1	1571	377
1	1589	378
1	1603	379
1	1607	380
1	1607	381
1	1603	382
1	1594	383
1	1577	384
1	1562	385
1	1553	386
1	1542	387
1	1537	388
1	1531	389
1	1528	390
1	1529	391
1	1530	392
1	1532	393
1	1533	394
1	1530	395
1	1529	396
1	1532	397
1	1542	398
1	1547	399
1	1556	400
1	1559	401
1	1555	402
1	1553	403
1	1552	404
1	1546	405
1	1545	406
1	1546	407
1	1543	408
1	1539	409
1	1529	410
1	1513	411
1	1502	412
1	1498	413
1	1501	414
1	1517	415
1	1542	416
1	1566	417
1	1589	418
1	1615	419
1	1634	420
1	1642	421
1	1642	422
1	1633	423
1	1613	424
1	1605	425
1	1592	426
1	1584	427
1	1579	428
1	1567	429
1	1561	430
1	1557	431
1	1554	432
1	1546	433
1	1543	434
1	1539	435
1	1550	436
1	1573	437
1	1598	438
1	1634	439
1	1669	440
1	1698	441
1	1715	442
1	1722	443
1	1712	444
1	1708	445
1	1699	446
1	1687	447
1	1672	448
1	1667	449
1	1660	450
1	1660	451
1	1659	452
1	1659	453
1	1657	454
1	1660	455
1	1669	456
1	1683	457
1	1695	458
1	1694	459
1	1700	460
1	1703	461
1	1699	462
1	1691	463
1	1687	464
1	1679	465
1	1677	466
1	1681	467
1	1686	468
1	1692	469
1	1691	470
1	1691	471
1	1695	472
1	1699	473
1	1706	474
1	1716	475
1	1730	476
1	1739	477
1	1744	478
1	1751	479
1	1753	480
1	1752	481
1	1751	482
1	1743	483
1	1728	484
1	1708	485
1	1690	486
1	1677	487
1	1669	488
1	1660	489
1	1664	490
1	1675	491
1	1690	492
1	1710	493
1	1731	494
1	1743	495
1	1757	496
1	1766	497
1	1772	498
1	1769	499
1	1766	500
1	1762	501
1	1760	502
1	1762	503
1	1759	504
1	1762	505
1	1767	506
1	1774	507
1	1768	508
1	1764	509
1	1755	510
1	1751	511
1	1750	512
1	1752	513
1	1762	514
1	1764	515
1	1759	516
1	1748	517
1	1737	518
1	1724	519
1	1725	520
1	1723	521
1	1715	522
1	1709	523
1	1710	524
1	1705	525
1	1723	526
1	1730	527
1	1743	528
1	1746	529
1	1749	530
1	1749	531
1	1748	532
1	1742	533
1	1727	534
1	1717	535
1	1710	536
1	1697	537
1	1692	538
1	1695	539
1	1695	540
1	1705	541
1	1710	542
1	1710	543
1	1711	544
1	1712	545
1	1715	546
1	1718	547
1	1721	548
1	1717	549
1	1715	550
1	1717	551
1	1724	552
1	1737	553
1	1747	554
1	1751	555
1	1760	556
1	1766	557
1	1768	558
1	1769	559
1	1760	560
1	1740	561
1	1719	562
1	1701	563
1	1683	564
1	1669	565
1	1665	566
1	1673	567
1	1675	568
1	1683	569
1	1685	570
1	1685	571
1	1688	572
1	1690	573
1	1697	574
1	1710	575
1	1734	576
1	1751	577
1	1764	578
1	1769	579
1	1759	600
1	1762	601
1	1764	602
1	1761	603
1	1751	604
1	1738	605
1	1728	606
1	1723	607
1	1714	608
1	1703	609
1	1691	610
1	1680	611
1	1667	612
1	1660	613
1	1657	614
1	1651	615
1	1647	616
1	1636	617
1	1634	618
1	1641	619
1	1772	580
1	1764	581
1	1751	582
1	1737	583
1	1726	584
1	1715	585
1	1706	586
1	1698	587
1	1689	588
1	1690	589
1	1693	590
1	1698	591
1	1703	592
1	1712	593
1	1711	594
1	1713	595
1	1723	596
1	1734	597
1	1740	598
1	1755	599
1	1743	640
1	1729	641
1	1710	642
1	1693	643
1	1688	644
1	1686	645
1	1686	646
1	1688	647
1	1693	648
1	1698	649
1	1697	650
1	1689	651
1	1692	652
1	1701	653
1	1710	654
1	1720	655
1	1734	656
1	1748	657
1	1763	658
1	1778	659
1	1660	620
1	1686	621
1	1710	622
1	1731	623
1	1752	624
1	1776	625
1	1791	626
1	1811	627
1	1813	628
1	1801	629
1	1791	630
1	1783	631
1	1782	632
1	1775	633
1	1767	634
1	1764	635
1	1763	636
1	1760	637
1	1760	638
1	1751	639
1	1782	660
1	1777	661
1	1764	662
1	1754	663
1	1743	664
1	1738	665
1	1742	666
1	1751	667
1	1755	668
1	1749	669
1	1749	670
1	1744	671
1	1733	672
1	1718	673
1	1712	674
1	1701	675
1	1699	676
1	1701	677
1	1707	678
1	1703	679
1	1697	680
1	1691	681
1	1688	682
1	1690	683
1	1690	684
1	1699	685
1	1708	686
1	1720	687
1	1731	688
1	1741	689
1	1739	690
1	1733	691
1	1723	692
1	1712	693
1	1708	694
1	1701	695
1	1703	696
1	1707	697
1	1710	698
1	1705	699
1	1710	700
1	1715	701
1	1724	702
1	1728	703
1	1733	704
1	1728	705
1	1728	706
1	1734	707
1	1742	708
1	1762	709
1	1788	710
1	1812	711
1	1827	712
1	1836	713
1	1831	714
1	1826	715
1	1816	716
1	1791	717
1	1773	718
1	1764	719
1	1747	720
1	1728	721
1	1711	722
1	1697	723
1	1681	724
1	1670	725
1	1672	726
1	1686	727
1	1710	728
1	1737	729
1	1759	730
1	1770	731
1	1769	732
1	1764	733
1	1751	734
1	1737	735
1	1727	736
1	1731	737
1	1728	738
1	1721	739
1	1790	760
1	1780	761
1	1769	762
1	1759	763
1	1749	764
1	1736	765
1	1721	766
1	1710	767
1	1697	768
1	1686	769
1	1673	770
1	1665	771
1	1653	772
1	1638	773
1	1631	774
1	1623	775
1	1628	776
1	1636	777
1	1657	778
1	1686	779
1	1717	740
1	1722	741
1	1725	742
1	1731	743
1	1724	744
1	1724	745
1	1722	746
1	1724	747
1	1728	748
1	1737	749
1	1731	750
1	1730	751
1	1729	752
1	1736	753
1	1747	754
1	1764	755
1	1782	756
1	1791	757
1	1796	758
1	1793	759
1	1711	780
1	1736	781
1	1751	782
1	1764	783
1	1765	784
1	1769	785
1	1769	786
1	1765	787
1	1763	788
1	1744	789
1	1738	790
1	1733	791
1	1727	792
1	1728	793
1	1739	794
1	1752	795
1	1765	796
1	1777	797
1	1782	798
1	1786	799
1	1791	800
1	1792	801
1	1790	802
1	1785	803
1	1769	804
1	1764	805
1	1760	806
1	1751	807
1	1736	808
1	1721	809
1	1703	810
1	1688	811
1	1683	812
1	1687	813
1	1695	814
1	1712	815
1	1738	816
1	1764	817
1	1780	818
1	1785	819
1	1780	820
1	1769	821
1	1752	822
1	1730	823
1	1719	824
1	1709	825
1	1697	826
1	1693	827
1	1682	828
1	1683	829
1	1690	830
1	1703	831
1	1713	832
1	1718	833
1	1727	834
1	1733	835
1	1738	836
1	1740	837
1	1746	838
1	1751	839
1	1749	840
1	1746	841
1	1738	842
1	1723	843
1	1703	844
1	1679	845
1	1656	846
1	1641	847
1	1634	848
1	1634	849
1	1647	850
1	1661	851
1	1679	852
1	1689	853
1	1700	854
1	1702	855
1	1701	856
1	1705	857
1	1712	858
1	1724	859
1	1738	860
1	1746	861
1	1746	862
1	1738	863
1	1716	864
1	1697	865
1	1675	866
1	1657	867
1	1637	868
1	1632	869
1	1625	870
1	1629	871
1	1636	872
1	1646	873
1	1647	874
1	1644	875
1	1639	876
1	1643	877
1	1649	878
1	1652	879
1	1660	880
1	1662	881
1	1665	882
1	1661	883
1	1661	884
1	1652	885
1	1641	886
1	1628	887
1	1607	888
1	1593	889
1	1582	890
1	1580	891
1	1581	892
1	1592	893
1	1602	894
1	1623	895
1	1646	896
1	1668	897
1	1694	898
1	1720	899
1	1737	900
1	1744	901
1	1746	902
1	1743	903
1	1733	904
1	1720	905
1	1712	906
1	1707	907
1	1706	908
1	1693	909
1	1685	910
1	1671	911
1	1660	912
1	1648	913
1	1643	914
1	1631	915
1	1618	916
1	1607	917
1	1600	918
1	1602	919
1	1611	920
1	1634	921
1	1655	922
1	1680	923
1	1699	924
1	1723	925
1	1746	926
1	1769	927
1	1791	928
1	1809	929
1	1815	930
1	1801	931
1	1791	932
1	1767	933
1	1750	934
1	1733	935
1	1718	936
1	1708	937
1	1699	938
1	1690	939
1	1742	960
1	1751	961
1	1754	962
1	1758	963
1	1760	964
1	1754	965
1	1744	966
1	1737	967
1	1728	968
1	1716	969
1	1716	970
1	1719	971
1	1728	972
1	1738	973
1	1751	974
1	1755	975
1	1759	976
1	1764	977
1	1778	978
1	1791	979
1	1695	940
1	1701	941
1	1708	942
1	1711	943
1	1719	944
1	1726	945
1	1738	946
1	1750	947
1	1755	948
1	1753	949
1	1752	950
1	1752	951
1	1751	952
1	1751	953
1	1741	954
1	1739	955
1	1737	956
1	1733	957
1	1728	958
1	1738	959
1	1800	980
1	1808	981
1	1802	982
1	1793	983
1	1773	984
1	1753	985
1	1734	986
1	1712	987
1	1701	988
1	1706	989
1	1710	990
1	1715	991
1	1717	992
1	1713	993
1	1703	994
1	1688	995
1	1670	996
1	1643	997
1	1607	998
1	1556	999
1	1505	1000
1	1451	1001
1	1402	1002
1	1355	1003
1	1315	1004
1	1271	1005
1	1231	1006
1	1188	1007
1	1148	1008
1	1118	1009
1	1103	1010
1	1103	1011
1	1113	1012
1	1139	1013
1	1170	1014
1	1211	1015
1	1256	1016
1	1317	1017
1	1391	1018
1	1475	1019
1	1556	1020
1	1620	1021
1	1676	1022
1	1736	1023
1	1766	1024
1	1809	1025
1	1845	1026
1	1879	1027
1	1914	1028
1	1948	1029
1	1975	1030
1	2000	1031
1	2017	1032
1	2027	1033
1	2034	1034
1	2039	1035
1	2049	1036
1	2053	1037
1	2045	1038
1	2025	1039
1	1701	1060
1	1696	1061
1	1686	1062
1	1681	1063
1	1683	1064
1	1686	1065
1	1695	1066
1	1701	1067
1	1710	1068
1	1716	1069
1	1733	1070
1	1744	1071
1	1751	1072
1	1757	1073
1	1755	1074
1	1760	1075
1	1764	1076
1	1768	1077
1	1765	1078
1	1764	1079
1	1755	1080
1	1748	1081
1	1742	1082
1	1734	1083
1	1716	1084
1	1706	1085
1	1695	1086
1	1696	1087
1	1697	1088
1	1695	1089
1	1697	1090
1	1701	1091
1	1702	1092
1	1703	1093
1	1706	1094
1	1706	1095
1	1706	1096
1	1711	1097
1	1721	1098
1	1733	1099
1	1998	1040
1	1963	1041
1	1935	1042
1	1913	1043
1	1880	1044
1	1850	1045
1	1816	1046
1	1782	1047
1	1757	1048
1	1744	1049
1	1728	1050
1	1719	1051
1	1719	1052
1	1716	1053
1	1712	1054
1	1712	1055
1	1712	1056
1	1711	1057
1	1710	1058
1	1705	1059
1	1740	1100
1	1738	1101
1	1734	1102
1	1726	1103
1	1712	1104
1	1707	1105
1	1706	1106
1	1710	1107
1	1712	1108
1	1701	1109
1	1688	1110
1	1674	1111
1	1657	1112
1	1646	1113
1	1641	1114
1	1636	1115
1	1636	1116
1	1649	1117
1	1669	1118
1	1686	1119
1	1706	1120
1	1713	1121
1	1712	1122
1	1699	1123
1	1691	1124
1	1672	1125
1	1662	1126
1	1651	1127
1	1637	1128
1	1631	1129
1	1626	1130
1	1618	1131
